epoch,loss,accuracy,set
1,5.159223712820187,0.05086597703355021,train
2,3.3898734539352877,0.25823312678950044,train
3,2.385433872570838,0.450822218717384,train
4,1.8447105596331432,0.5629988447817602,train
5,1.521510176690179,0.6342268781085095,train
6,1.2988331939863123,0.683181929565783,train
7,1.1394932222557879,0.7186025344807169,train
8,1.0137190493552581,0.7467872645769318,train
9,0.9141777509890342,0.7703576804559488,train
10,0.827838288408146,0.7893085311175745,train
11,0.4746935989489402,0.8784529685748773,train
12,0.41285580629042734,0.892589967102094,train
13,0.38382136156405755,0.9010965833591829,train
14,0.36629956764977123,0.9049179969302648,train
15,0.35039089450679567,0.9078598683858413,train
1,4.2145670781652615,0.13290662650602408,eval
2,2.329016924622547,0.44164156626506024,eval
3,1.6260990364005767,0.6020331325301205,eval
4,1.2648074758429844,0.6852409638554217,eval
5,0.9781719872556873,0.745105421686747,eval
6,0.7845569811312549,0.7940512048192772,eval
7,0.7423683008605457,0.8121234939759037,eval
8,0.5728879438780518,0.8505271084337349,eval
9,0.6135721257607262,0.8384789156626506,eval
10,0.49410162219800147,0.8704819277108434,eval
11,0.28437095008094804,0.9194277108433735,eval
12,0.2723033920839339,0.922816265060241,eval
13,0.2712757257262178,0.9213102409638554,eval
14,0.2524831230802663,0.9288403614457831,eval
15,0.25391274039824324,0.9307228915662651,eval
1,4.841734793501081,0.018632075471698113,train
2,3.785326862335205,0.07839622643758666,train
3,3.3245135478253633,0.1664229560010838,train
4,3.3487839977696257,0.19062893087009214,train
5,2.847856334470353,0.2862971698338131,train
6,2.663242858760762,0.33029874214586225,train
7,2.510709401796449,0.3654245283243791,train
8,2.4596148086044023,0.3690172956237253,train
9,4.209852489435447,0.03337264150943396,train
10,4.365901364020582,0.017806603773584905,train
1,4.131088044908312,0.017361111111111112,eval
2,3.857486300998264,0.06944444444444445,eval
3,3.0606485075420804,0.2407407412926356,eval
4,2.6009955273734198,0.2939814825852712,eval
5,2.9589771694607205,0.26851851907041335,eval
6,2.4832443528705173,0.3506944444444444,eval
7,2.3001740641064115,0.39699074294832015,eval
8,2.5314909882015653,0.34606481591860455,eval
9,4.318234549628364,0.017361111111111112,eval
10,10.84912527932061,0.017361111111111112,eval
